hidden_dim, num_layers, lr, epochs, number_systems, loss
4, 4, 0.1, 500, 5, 0.00038224541967792904
4, 4, 0.1, 500, 10, 0.0005305885126290378
4, 4, 0.1, 500, 20, 0.00030412040650844573
4, 4, 0.1, 1000, 5, 0.0012274352440641678
4, 4, 0.1, 1000, 10, 0.0003691349469590932
4, 4, 0.1, 1000, 20, 0.0008552351828257088
4, 6, 0.01, 100, 5, 0.0003240105645090807
4, 6, 0.01, 100, 10, 0.0009570383080927059
4, 6, 0.01, 100, 20, 0.00039794079966668503
4, 6, 0.01, 200, 5, 0.0017782669171538146
4, 6, 0.01, 200, 10, 0.002557073919888353
4, 6, 0.01, 200, 20, 0.0005511706269317074
4, 6, 0.01, 500, 5, 0.0012776422136084875
4, 6, 0.01, 500, 10, 0.00202729125667247
4, 6, 0.01, 500, 20, 0.0016461105027701707
4, 6, 0.01, 1000, 5, 0.0046638184794574045
4, 6, 0.01, 1000, 10, 0.0012459926278097556
4, 6, 0.01, 1000, 20, 0.008684980656835251
4, 6, 0.005, 100, 5, 0.002750562823166547
4, 6, 0.005, 100, 10, 0.001722078659076942
4, 6, 0.005, 100, 20, 0.0009780758764463826
4, 6, 0.005, 200, 5, 0.0007612763110955711
4, 6, 0.005, 200, 10, 0.0036981426270358496
4, 6, 0.005, 200, 20, 0.00029359448599279857
4, 6, 0.005, 500, 5, 0.0009198657644446939
4, 6, 0.005, 500, 10, 0.00432204606167943
4, 6, 0.005, 500, 20, 0.0037077125918585805
4, 6, 0.005, 1000, 5, 0.0017761668530511087
4, 6, 0.005, 1000, 10, 0.005302348799523316
4, 6, 0.005, 1000, 20, 0.0029461713664204582
4, 6, 0.02, 100, 5, 0.0007203608256531879
4, 6, 0.02, 100, 10, 0.002192069444436129
4, 6, 0.02, 100, 20, 0.0012779392978700343
4, 6, 0.02, 200, 5, 0.0008930181138566695
4, 6, 0.02, 200, 10, 0.0006724373655742965
4, 6, 0.02, 200, 20, 0.0018372693964920472
4, 6, 0.02, 500, 5, 0.0013918403594288975
4, 6, 0.02, 500, 10, 0.004509009016328491
4, 6, 0.02, 500, 20, 0.002576041020802222
4, 6, 0.02, 1000, 5, 0.00034850908414227886
4, 6, 0.02, 1000, 10, 0.0011440643238529447
4, 6, 0.02, 1000, 20, 0.0009487113013165072
4, 6, 0.001, 100, 5, 0.0024695969827007503
4, 6, 0.001, 100, 10, 0.0011881727485160809
4, 6, 0.001, 100, 20, 0.0005616344351437874
4, 6, 0.001, 200, 5, 0.0008705340446795162
4, 6, 0.001, 200, 10, 0.002422636590199545
4, 6, 0.001, 200, 20, 0.0034303718523005953
4, 6, 0.001, 500, 5, 0.00821182008330652
4, 6, 0.001, 500, 10, 0.011007412147591822
4, 6, 0.001, 500, 20, 0.007566527748349472
4, 6, 0.001, 1000, 5, 0.0072692309022386326
4, 6, 0.001, 1000, 10, 0.0030362708517714053
4, 6, 0.001, 1000, 20, 0.012510495537208044
4, 6, 0.1, 100, 5, 0.0002872613025829196
4, 6, 0.1, 100, 10, 0.0005430542754766065
4, 6, 0.1, 100, 20, 0.0020944282532582292
4, 6, 0.1, 200, 5, 0.00016631416419841117
4, 6, 0.1, 200, 10, 0.0020560216960802792
4, 6, 0.1, 200, 20, 0.0010294845829776022
4, 6, 0.1, 500, 5, 0.0023193154265754856
4, 6, 0.1, 500, 10, 0.004388847706468369
4, 6, 0.1, 500, 20, 0.0002660752990777837
4, 6, 0.1, 1000, 5, 0.004328231459658128
4, 6, 0.1, 1000, 10, 0.0018320688144740417
4, 6, 0.1, 1000, 20, 0.005881081442385039
4, 8, 0.01, 100, 5, 0.001955911816912703
4, 8, 0.01, 100, 10, 0.0013180830850615167
4, 8, 0.01, 100, 20, 0.0004789824473846238
4, 8, 0.01, 200, 5, 0.0015346066171332494
4, 8, 0.01, 200, 10, 0.003511807707400294
4, 8, 0.01, 200, 20, 0.0015496618599172506
4, 8, 0.01, 500, 5, 0.0006522505140310386
4, 8, 0.01, 500, 10, 0.002928462501586182
4, 8, 0.01, 500, 20, 0.0025861780111881673
4, 8, 0.01, 1000, 5, 0.002383917578845285
4, 8, 0.01, 1000, 10, 0.0005973293249553535
4, 8, 0.01, 1000, 20, 0.0016011715108106728
4, 8, 0.005, 100, 5, 0.00044187590938236097
4, 8, 0.005, 100, 10, 0.0008914560588891618
4, 8, 0.005, 100, 20, 0.0007483824650989845
4, 8, 0.005, 200, 5, 0.008768161563057219
4, 8, 0.005, 200, 10, 0.0010411103547085076
4, 8, 0.005, 200, 20, 0.0007261015714902896
4, 8, 0.005, 500, 5, 0.0009690750342997489
4, 8, 0.005, 500, 10, 0.0008984869011328556
4, 8, 0.005, 500, 20, 0.0010930073462077417
4, 8, 0.005, 1000, 5, 0.002977042904240079
4, 8, 0.005, 1000, 10, 0.0023105556829250418
4, 8, 0.005, 1000, 20, 0.0026573222727165557
4, 8, 0.02, 100, 5, 0.0018957783620862755
4, 8, 0.02, 100, 10, 0.0006977778830332682
